date,bio,software
4-Aug-11,40000000,3000000
15-Jul-11,700000,14000000
31-Jan-11,22611112,5000000
10-Sep-10,1500000,10150000
11-May-10,6000000,9500000
12-Mar-10,19000000,38000000
17-Jul-09,2975000,13000000
17-Jul-09,4500000,3200000
11-Mar-09,1787500,20000000
3-Oct-08,18000000,29400000
21-Aug-08,800000,25000000
31-Jul-08,1100000,20115000
14-Nov-07,67500000,12575000
12-Oct-07,4800000,117500000
13-Aug-07,1000000,8099000
5-Jul-07,10000000,1900000
6-Jun-07,5000000,10000000
24-May-07,16500000,1750000
9-Feb-07,8916667,3150000
18-Sep-06,12750000,1750000
12-Jul-06,15000000,10700000
3-Apr-06,6000000,5600000
17-Mar-06,1500000,4300000
30-Dec-05,28500000,1600000
15-Dec-05,375000,9000000
11-Oct-05,8000000,20000000
18-Aug-05,4425000,21500000
3-Aug-05,11000000,1500000
1-Aug-05,11250000,2625000
23-May-05,9150000,3250000
4-May-05,6000000,13000000
11-Mar-05,65000000,60000000
2-Mar-05,3500000,12000000
24-Jan-05,7000000,1600000
16-Dec-04,9000000,13650000
12-Nov-04,9000000,1900000
12-Oct-04,30000000,600000
21-Sep-04,2300000,35000000
9-Aug-04,8000000,24500000
2-Aug-04,10000000,13800000
28-Jul-04,4500000,5250000
2-Jul-04,600000000,17000000
24-Jun-04,16000000,13100000
15-Jun-04,12750000,78000000
4-Jun-04,11205000,56292922
19-May-04,2000000,7500000
4-May-04,18000000,4500000
8-Apr-04,1875000,1185500
12-Feb-04,7550000,595000
5-Feb-04,18700000,
30-Dec-03,10000000,10450000
18-Dec-03,3125000,11000000
8-Dec-03,6000000,87750000
12-Nov-03,138000000,5000000
10-Nov-03,8250000,70000000
16-Oct-03,3150000,13000000
8-Aug-03,13350000,4500000
23-Jul-03,3150000,6900000
25-Jun-03,10400000,6000000
2-Jun-03,64000000,2000000
2-May-03,4700000,12026000
11-Apr-03,164000000,8200000
13-Mar-03,2500000,1180000
12-Mar-03,38250000,5900000
24-Jan-03,50000000,120520000
15-Nov-02,52500000,3400000
21-Aug-02,4650000,825000
25-Apr-02,2450000,537500
19-Apr-02,3350000,192500000
26-Mar-02,9000000,2500000
28-Feb-02,529300,7000000
4-Feb-02,75000000,1250000
17-Jan-02,550000,10150000
7-Jan-02,75000000,4300000
9-Aug-01,2100000,4100000
13-Jul-01,9600000,87700000
13-Mar-01,3088000,38750000
23-Feb-01,4750000,
16-Feb-01,165000000,
5-Sep-00,4500000,
8-Jun-00,1250000,
19-Apr-00,11000000,
